,CountryName,DateTime,StringencyIndex,ContainmentHealthIndex,EconomicSupportIndex,GovernmentResponseIndex
270,Bahamas,2020-01-01,0.0,0.0,0.0,0.0
271,Bahamas,2020-02-01,5.56,3.57,0.0,3.12
272,Bahamas,2020-03-01,11.11,7.14,0.0,6.25
273,Bahamas,2020-04-01,96.3,80.36,75.0,79.69
274,Bahamas,2020-05-01,96.3,85.71,75.0,84.38
275,Bahamas,2020-06-01,81.48,76.19,75.0,76.04
276,Bahamas,2020-07-01,59.26,61.9,50.0,60.42
277,Bahamas,2020-08-01,81.94,74.7,25.0,68.49
278,Bahamas,2020-09-01,82.87,75.3,25.0,69.01
279,Bahamas,2020-10-01,73.61,69.35,25.0,63.8
280,Bahamas,2020-11-01,68.98,66.37,25.0,61.2
281,Bahamas,2020-12-01,68.98,66.37,25.0,61.2
282,Bahamas,2021-01-01,68.98,66.37,0.0,58.07
283,Bahamas,2021-02-01,68.98,67.08,0.0,58.7
284,Bahamas,2021-03-01,68.98,67.08,0.0,58.7
285,Bahamas,2021-04-01,68.06,68.63,50.0,66.3
286,Bahamas,2021-05-01,59.72,66.13,50.0,64.11
287,Bahamas,2021-06-01,64.35,75.3,50.0,72.14
288,Bahamas,2021-07-01,51.39,65.77,50.0,63.8
289,Bahamas,2021-08-01,57.41,71.43,50.0,68.75
290,Bahamas,2021-09-01,52.31,64.58,50.0,62.76
291,Bahamas,2021-10-01,52.31,62.2,0.0,54.43
292,Bahamas,2021-11-01,39.35,53.87,0.0,47.14
293,Bahamas,2021-12-01,47.22,58.93,0.0,51.56
294,Bahamas,2022-01-01,48.15,58.1,0.0,50.83
295,Bahamas,2022-02-01,42.59,54.52,0.0,47.71
296,Bahamas,2022-03-01,62.96,67.26,0.0,58.85
297,Bahrain,2020-01-01,0.0,0.0,0.0,0.0
298,Bahrain,2020-02-01,11.11,7.14,25.0,9.38
299,Bahrain,2020-03-01,30.56,31.55,25.0,30.73
300,Bahrain,2020-04-01,78.7,67.26,87.5,69.79
301,Bahrain,2020-05-01,75.0,70.24,87.5,72.4
302,Bahrain,2020-06-01,75.0,70.24,87.5,72.4
303,Bahrain,2020-07-01,75.0,72.62,87.5,74.48
304,Bahrain,2020-08-01,69.44,69.05,87.5,71.35
305,Bahrain,2020-09-01,60.19,63.1,87.5,66.15
306,Bahrain,2020-10-01,60.19,63.1,87.5,66.15
307,Bahrain,2020-11-01,54.63,59.52,87.5,63.02
308,Bahrain,2020-12-01,54.63,59.52,87.5,63.02
309,Bahrain,2021-01-01,50.93,64.29,87.5,67.19
310,Bahrain,2021-02-01,58.33,69.05,87.5,71.35
311,Bahrain,2021-03-01,55.56,67.26,87.5,69.79
312,Bahrain,2021-04-01,56.48,65.0,87.5,67.81
313,Bahrain,2021-05-01,53.7,63.21,87.5,66.25
314,Bahrain,2021-06-01,62.96,70.6,87.5,72.71
315,Bahrain,2021-07-01,62.96,70.6,87.5,72.71
316,Bahrain,2021-08-01,53.7,66.43,62.5,65.94
317,Bahrain,2021-09-01,39.35,51.55,25.0,48.23
318,Bahrain,2021-10-01,39.35,51.55,25.0,48.23
319,Bahrain,2021-11-01,29.63,50.6,25.0,47.4
320,Bahrain,2021-12-01,32.41,52.38,25.0,48.96
321,Bahrain,2022-01-01,32.41,50.6,0.0,44.27
322,Bahrain,2022-02-01,50.93,66.07,0.0,57.81
323,Bahrain,2022-03-01,38.89,58.33,0.0,51.04
324,Bangladesh,2020-01-01,0.0,0.0,0.0,0.0
325,Bangladesh,2020-02-01,13.89,12.5,0.0,10.94
326,Bangladesh,2020-03-01,13.89,14.88,0.0,13.02
327,Bangladesh,2020-04-01,87.04,64.29,25.0,59.38
328,Bangladesh,2020-05-01,89.81,66.07,75.0,67.19
329,Bangladesh,2020-06-01,62.96,55.95,50.0,55.21
330,Bangladesh,2020-07-01,74.54,63.39,50.0,61.72
331,Bangladesh,2020-08-01,80.09,66.96,50.0,64.84
332,Bangladesh,2020-09-01,80.09,66.96,50.0,64.84
333,Bangladesh,2020-10-01,80.09,66.96,50.0,64.84
334,Bangladesh,2020-11-01,80.09,66.96,50.0,64.84
335,Bangladesh,2020-12-01,80.09,66.96,50.0,64.84
336,Bangladesh,2021-01-01,80.09,68.39,50.0,66.09
337,Bangladesh,2021-02-01,81.02,77.32,50.0,73.91
338,Bangladesh,2021-03-01,81.02,78.75,50.0,75.16
339,Bangladesh,2021-04-01,83.33,81.31,50.0,77.4
340,Bangladesh,2021-05-01,83.33,75.24,50.0,72.08
341,Bangladesh,2021-06-01,72.22,64.52,0.0,56.46
342,Bangladesh,2021-07-01,86.11,73.1,0.0,63.96
343,Bangladesh,2021-08-01,93.52,90.12,0.0,78.85
344,Bangladesh,2021-09-01,69.44,71.79,50.0,69.06
345,Bangladesh,2021-10-01,62.04,67.02,50.0,64.9
346,Bangladesh,2021-11-01,36.11,51.79,50.0,51.56
347,Bangladesh,2021-12-01,44.44,59.52,50.0,58.33
348,Bangladesh,2022-01-01,38.89,55.95,50.0,55.21
349,Bangladesh,2022-02-01,68.52,75.0,0.0,65.62
350,Bangladesh,2022-03-01,31.48,51.19,0.0,44.79
351,Barbados,2020-01-01,0.0,0.0,0.0,0.0
352,Barbados,2020-02-01,16.67,13.1,0.0,11.46
353,Barbados,2020-03-01,16.67,13.1,0.0,11.46
354,Barbados,2020-04-01,62.04,54.17,37.5,52.08
355,Barbados,2020-05-01,88.89,77.38,37.5,72.4
356,Barbados,2020-06-01,78.7,70.83,37.5,66.67
357,Barbados,2020-07-01,57.41,57.14,37.5,54.69
358,Barbados,2020-08-01,45.37,49.4,37.5,47.92
359,Barbados,2020-09-01,38.89,45.24,62.5,47.4
360,Barbados,2020-10-01,35.19,42.86,62.5,45.31
361,Barbados,2020-11-01,40.74,46.43,62.5,48.44
362,Barbados,2020-12-01,40.74,46.43,62.5,48.44
363,Barbados,2021-01-01,50.93,52.98,37.5,51.04
364,Barbados,2021-02-01,66.67,63.1,37.5,59.9
365,Barbados,2021-03-01,70.37,71.55,37.5,67.29
366,Barbados,2021-04-01,66.67,71.55,50.0,68.85
367,Barbados,2021-05-01,72.22,76.55,50.0,73.23
368,Barbados,2021-06-01,66.67,72.98,50.0,70.1
369,Barbados,2021-07-01,50.93,58.1,50.0,57.08
370,Barbados,2021-08-01,50.0,57.5,50.0,56.56
371,Barbados,2021-09-01,70.37,72.02,50.0,69.27
372,Barbados,2021-10-01,67.59,58.33,50.0,57.29
373,Barbados,2021-11-01,67.59,63.1,50.0,61.46
374,Barbados,2021-12-01,67.59,63.1,50.0,61.46
375,Barbados,2022-01-01,67.59,70.24,50.0,67.71
376,Barbados,2022-02-01,59.26,68.45,25.0,63.02
377,Barbados,2022-03-01,42.59,54.17,25.0,50.52
378,Belarus,2020-01-01,0.0,0.0,0.0,0.0
379,Belarus,2020-02-01,0.0,0.0,0.0,0.0
380,Belarus,2020-03-01,0.0,0.0,0.0,0.0
381,Belarus,2020-04-01,12.04,11.9,0.0,10.42
382,Belarus,2020-05-01,31.48,38.69,0.0,33.85
383,Belarus,2020-06-01,31.48,38.69,0.0,33.85
384,Belarus,2020-07-01,31.48,38.69,0.0,33.85
385,Belarus,2020-08-01,31.48,38.69,0.0,33.85
386,Belarus,2020-09-01,31.48,38.69,0.0,33.85
387,Belarus,2020-10-01,31.48,38.69,0.0,33.85
388,Belarus,2020-11-01,37.04,42.26,0.0,36.98
389,Belarus,2020-12-01,37.04,44.94,0.0,39.32
390,Belarus,2021-01-01,42.59,49.94,0.0,43.7
391,Belarus,2021-02-01,42.59,47.56,0.0,41.61
392,Belarus,2021-03-01,42.59,47.56,0.0,41.61
393,Belarus,2021-04-01,42.59,47.56,0.0,41.61
394,Belarus,2021-05-01,42.59,47.56,0.0,41.61
395,Belarus,2021-06-01,43.52,51.9,0.0,45.42
396,Belarus,2021-07-01,43.52,51.9,0.0,45.42
397,Belarus,2021-08-01,29.63,37.98,0.0,33.23
398,Belarus,2021-09-01,19.44,36.07,50.0,37.81
399,Belarus,2021-10-01,19.44,36.07,0.0,31.56
400,Belarus,2021-11-01,19.44,32.5,0.0,28.44
401,Belarus,2021-12-01,19.44,27.14,0.0,23.75
402,Belarus,2022-01-01,19.44,27.14,0.0,23.75
403,Belarus,2022-02-01,23.15,29.52,0.0,25.83
404,Belarus,2022-03-01,23.15,29.52,0.0,25.83
405,Belgium,2020-01-01,0.0,0.0,0.0,0.0
406,Belgium,2020-02-01,11.11,7.14,0.0,6.25
407,Belgium,2020-03-01,11.11,16.67,0.0,14.58
408,Belgium,2020-04-01,81.48,63.1,87.5,66.15
409,Belgium,2020-05-01,81.48,64.88,87.5,67.71
410,Belgium,2020-06-01,75.0,68.45,87.5,70.83
411,Belgium,2020-07-01,50.0,52.38,87.5,56.77
412,Belgium,2020-08-01,61.11,61.31,62.5,61.46
413,Belgium,2020-09-01,52.78,55.95,62.5,56.77
414,Belgium,2020-10-01,47.22,51.49,62.5,52.86
415,Belgium,2020-11-01,56.48,58.33,100.0,63.54
416,Belgium,2020-12-01,60.19,60.71,100.0,65.62
417,Belgium,2021-01-01,60.19,62.14,100.0,66.88
418,Belgium,2021-02-01,62.96,65.36,75.0,66.56
419,Belgium,2021-03-01,62.96,65.36,75.0,66.56
420,Belgium,2021-04-01,70.37,70.12,75.0,70.73
421,Belgium,2021-05-01,54.63,63.81,75.0,65.21
422,Belgium,2021-06-01,50.93,62.86,75.0,64.38
423,Belgium,2021-07-01,50.93,64.29,75.0,65.62
424,Belgium,2021-08-01,47.22,61.9,75.0,63.54
425,Belgium,2021-09-01,43.06,59.23,75.0,61.2
426,Belgium,2021-10-01,40.28,54.76,75.0,57.29
427,Belgium,2021-11-01,45.83,59.23,75.0,61.2
428,Belgium,2021-12-01,44.44,60.12,75.0,61.98
429,Belgium,2022-01-01,44.44,60.12,0.0,52.6
430,Belgium,2022-02-01,50.0,63.69,0.0,55.73
431,Belgium,2022-03-01,46.3,61.31,0.0,53.65
432,Belize,2020-01-01,0.0,0.0,0.0,0.0
433,Belize,2020-02-01,0.0,0.0,0.0,0.0
434,Belize,2020-03-01,13.89,8.93,0.0,7.81
435,Belize,2020-04-01,75.0,60.12,25.0,55.73
436,Belize,2020-05-01,76.85,66.67,25.0,61.46
437,Belize,2020-06-01,75.93,66.07,25.0,60.94
438,Belize,2020-07-01,69.44,61.9,25.0,57.29
439,Belize,2020-08-01,69.44,61.9,75.0,63.54
440,Belize,2020-09-01,72.69,63.99,75.0,65.36
441,Belize,2020-10-01,69.44,64.29,62.5,64.06
442,Belize,2020-11-01,66.67,62.5,62.5,62.5
443,Belize,2020-12-01,72.22,66.07,62.5,65.62
444,Belize,2021-01-01,72.22,66.07,62.5,65.62
445,Belize,2021-02-01,73.15,66.67,62.5,66.15
446,Belize,2021-03-01,73.15,66.67,62.5,66.15
447,Belize,2021-04-01,73.15,63.81,62.5,63.65
448,Belize,2021-05-01,43.52,51.9,75.0,54.79
449,Belize,2021-06-01,62.04,63.81,75.0,65.21
450,Belize,2021-07-01,66.67,71.55,75.0,71.98
451,Belize,2021-08-01,63.89,69.76,75.0,70.42
452,Belize,2021-09-01,56.48,65.83,50.0,63.85
453,Belize,2021-10-01,56.48,65.83,50.0,63.85
454,Belize,2021-11-01,60.19,63.69,50.0,61.98
